Date,Code,Open,High,Low,Close,Volume
2015-01-02,2YUSY,0.6645,0.7143,0.6567,0.6647,0
2015-01-05,2YUSY,0.6607,0.6925,0.6567,0.6568,0
2015-01-06,2YUSY,0.6568,0.6568,0.5773,0.625,0
2015-01-07,2YUSY,0.619,0.6449,0.6011,0.6091,0
2015-01-08,2YUSY,0.6111,0.6369,0.5971,0.6051,0
2015-01-09,2YUSY,0.609,0.619,0.545,0.561,0
2015-01-12,2YUSY,0.5609,0.5689,0.5449,0.5449,0
2015-01-13,2YUSY,0.5449,0.5608,0.5208,0.5388,0
2015-01-14,2YUSY,0.5328,0.5368,0.4485,0.5006,0
2015-01-15,2YUSY,0.4946,0.5326,0.4022,0.4122,0
2015-01-16,2YUSY,0.4062,0.4876,0.4022,0.4835,0
2015-01-20,2YUSY,0.4835,0.5035,0.4573,0.4914,0
2015-01-21,2YUSY,0.4914,0.5094,0.471,0.5074,0
2015-01-22,2YUSY,0.5054,0.5275,0.4748,0.5174,0
2015-01-23,2YUSY,0.5154,0.5194,0.4661,0.4864,0
2015-01-26,2YUSY,0.4742,0.5229,0.4722,0.5107,0
2015-01-27,2YUSY,0.5107,0.5188,0.4778,0.5105,0
2015-01-28,2YUSY,0.5085,0.5185,0.4613,0.4654,0
2015-01-29,2YUSY,0.4921,0.5315,0.4882,0.5158,0
2015-01-30,2YUSY,0.5237,0.5237,0.4488,0.4488,0
2015-02-02,2YUSY,0.4567,0.4803,0.4487,0.4586,0
2015-02-03,2YUSY,0.4605,0.5119,0.4526,0.5079,0
2015-02-04,2YUSY,0.5039,0.5356,0.4763,0.4842,0
2015-02-05,2YUSY,0.4664,0.5277,0.4664,0.5198,0
2015-02-06,2YUSY,0.5198,0.6475,0.5099,0.6435,0
2015-02-09,2YUSY,0.6355,0.6537,0.5997,0.6517,0
2015-02-10,2YUSY,0.6437,0.6679999999999999,0.6397,0.6499,0
2015-02-11,2YUSY,0.6501,0.6722,0.6361,0.6642,0
2015-02-12,2YUSY,0.6562,0.6765,0.6242,0.6242,0
2015-02-13,2YUSY,0.6242,0.6451,0.6209,0.6411,0
2015-02-17,2YUSY,0.6411,0.6858,0.617,0.6615,0
2015-02-18,2YUSY,0.6615,0.6861,0.5848,0.597,0
2015-02-19,2YUSY,0.5929,0.6255,0.5768,0.6174,0
2015-02-20,2YUSY,0.6234,0.6464,0.5853,0.6321,0
2015-02-23,2YUSY,0.6403,0.6506,0.6017,0.6017,0
2015-02-24,2YUSY,0.6017,0.6366,0.5489,0.5529,0
2015-02-25,2YUSY,0.5888,0.6184,0.5829,0.6026,0
2015-02-26,2YUSY,0.6066,0.654,0.5908,0.6461,0
2015-02-27,2YUSY,0.6421,0.6619,0.6184,0.6184,0
2015-03-02,2YUSY,0.6283,0.6621,0.6225,0.6621,0
2015-03-03,2YUSY,0.6582,0.6782,0.6505,0.6782,0
2015-03-04,2YUSY,0.6743,0.6862,0.6507,0.6546,0
2015-03-05,2YUSY,0.6546,0.6668,0.635,0.6389,0
2015-03-06,2YUSY,0.6429,0.7314,0.6016,0.7234,0
2015-03-09,2YUSY,0.7237,0.7314,0.6917,0.6917,0
2015-03-10,2YUSY,0.6997,0.7037,0.6679,0.6799,0
2015-03-11,2YUSY,0.6779,0.7083,0.6722,0.6802,0
2015-03-12,2YUSY,0.6802,0.6844,0.6383,0.6644,0
2015-03-13,2YUSY,0.6644,0.6832,0.6368,0.657,0
2015-03-16,2YUSY,0.6529,0.6612,0.6309,0.6491,0
2015-03-17,2YUSY,0.6491,0.6716,0.6331,0.6716,0
2015-03-18,2YUSY,0.6716,0.6779,0.5282,0.5525,0
2015-03-19,2YUSY,0.5484,0.6214,0.5282,0.6092,0
2015-03-20,2YUSY,0.6031,0.6097,0.569,0.5812,0
2015-03-23,2YUSY,0.5771,0.5895,0.5589,0.5691,0
2015-03-24,2YUSY,0.5691,0.5855,0.557,0.557,0
2015-03-25,2YUSY,0.5787,0.6023,0.5589999999999999,0.6023,0
2015-03-26,2YUSY,0.6004,0.626,0.5866,0.6102,0
2015-03-27,2YUSY,0.6102,0.6102,0.5748,0.5944,0
2015-03-30,2YUSY,0.5866,0.5944,0.5669,0.5787,0
2015-03-31,2YUSY,0.5728,0.5749,0.5473,0.5551,0
2015-04-01,2YUSY,0.563,0.575,0.5276,0.5355,0
2015-04-02,2YUSY,0.5394,0.5476,0.5178,0.5396,0
2015-04-03,2YUSY,0.5396,0.5397,0.4683,0.4762,0
2015-04-06,2YUSY,0.4822,0.5,0.4762,0.496,0
2015-04-07,2YUSY,0.496,0.5278,0.4921,0.5159,0
2015-04-08,2YUSY,0.5199,0.5478,0.5119,0.5318,0
2015-04-09,2YUSY,0.5358,0.5518,0.5239,0.5478,0
2015-04-10,2YUSY,0.5478,0.5601,0.536,0.556,0
2015-04-13,2YUSY,0.5579999999999999,0.5722,0.528,0.528,0
2015-04-14,2YUSY,0.528,0.5441,0.496,0.512,0
2015-04-15,2YUSY,0.508,0.512,0.4920000000000001,0.496,0
2015-04-16,2YUSY,0.496,0.5121,0.4759,0.4839,0
2015-04-17,2YUSY,0.4859,0.5161,0.4596,0.5081,0
2015-04-20,2YUSY,0.5081,0.5283,0.5,0.5202,0
2015-04-21,2YUSY,0.5222,0.5405,0.5162,0.5162,0
2015-04-22,2YUSY,0.5182,0.5528,0.5162,0.5446,0
2015-04-23,2YUSY,0.5487,0.5488,0.5203,0.5284,0
2015-04-24,2YUSY,0.5325,0.5408,0.5041,0.5041,0
2015-04-27,2YUSY,0.5041,0.5286,0.5041,0.5163,0
2015-04-28,2YUSY,0.5393,0.5629,0.5354,0.561,0
2015-04-29,2YUSY,0.557,0.5925,0.5433,0.557,0
2015-04-30,2YUSY,0.5589999999999999,0.6104,0.5551,0.5670000000000001,0
2015-05-01,2YUSY,0.5749,0.6068,0.5712,0.595,0
2015-05-04,2YUSY,0.5951,0.6129,0.5852,0.5991,0
2015-05-05,2YUSY,0.6051,0.631,0.5793,0.623,0
2015-05-06,2YUSY,0.6272,0.6431,0.6113,0.6351,0
2015-05-07,2YUSY,0.6331,0.6593,0.6154,0.6313,0
2015-05-08,2YUSY,0.6319,0.6399,0.5559,0.5719,0
2015-05-11,2YUSY,0.5699,0.616,0.5639,0.616,0
2015-05-12,2YUSY,0.616,0.6443,0.5881,0.5961,0
2015-05-13,2YUSY,0.5961,0.6001,0.5561,0.5762,0
2015-05-14,2YUSY,0.5762,0.5802,0.5401,0.5441,0
2015-05-15,2YUSY,0.5441,0.5564,0.5282,0.5363,0
2015-05-18,2YUSY,0.5302,0.5767,0.5302,0.5767,0
2015-05-19,2YUSY,0.5767,0.6133,0.5525,0.6133,0
2015-05-20,2YUSY,0.6092,0.6092,0.5769,0.585,0
2015-05-21,2YUSY,0.5789,0.5933,0.5689,0.573,0
2015-05-22,2YUSY,0.573,0.6265,0.5652,0.6142,0
2015-05-26,2YUSY,0.6142,0.643,0.6103,0.6123,0
2015-05-27,2YUSY,0.6446,0.6603,0.6407,0.6485,0
2015-05-28,2YUSY,0.6466,0.6486,0.6191,0.6289,0
2015-05-29,2YUSY,0.627,0.6329,0.5994,0.6053,0
2015-06-01,2YUSY,0.6092,0.6526,0.5993,0.6447,0
2015-06-02,2YUSY,0.6408,0.6645,0.6408,0.6527,0
2015-06-03,2YUSY,0.6527,0.6804,0.6487,0.6725,0
2015-06-04,2YUSY,0.6686,0.6845,0.6488,0.6607,0
2015-06-05,2YUSY,0.6607,0.7446,0.6607,0.7087,0
2015-06-08,2YUSY,0.7246,0.7247,0.6808,0.6808,0
2015-06-09,2YUSY,0.6828,0.7169,0.6768,0.7169,0
2015-06-10,2YUSY,0.7169,0.733,0.7169,0.725,0
2015-06-11,2YUSY,0.725,0.7492,0.7131,0.7131,0
2015-06-12,2YUSY,0.7171,0.7336,0.7051,0.7256,0
2015-06-15,2YUSY,0.7095,0.7136,0.6773,0.7015,0
2015-06-16,2YUSY,0.7035,0.7057,0.6774,0.6855,0
2015-06-17,2YUSY,0.6855,0.7523,0.6452,0.6492,0
2015-06-18,2YUSY,0.6411,0.6614,0.625,0.6331,0
2015-06-19,2YUSY,0.631,0.6412,0.6047,0.6169,0
2015-06-22,2YUSY,0.629,0.6595,0.629,0.6575,0
2015-06-23,2YUSY,0.6595,0.682,0.6575,0.6779,0
2015-06-24,2YUSY,0.6920000000000001,0.7078,0.6762,0.6802,0
2015-06-25,2YUSY,0.6762,0.7058,0.6762,0.688,0
2015-06-26,2YUSY,0.6841,0.7137,0.6802,0.7117,0
2015-06-29,2YUSY,0.6171,0.6683,0.6132,0.6329,0
2015-06-30,2YUSY,0.6329,0.6605,0.6171,0.6427,0
2015-07-01,2YUSY,0.6447,0.6922,0.6329,0.6882,0
2015-07-02,2YUSY,0.6882,0.7005,0.621,0.627,0
2015-07-06,2YUSY,0.5615,0.6151,0.5615,0.5892,0
2015-07-07,2YUSY,0.5892,0.6012,0.5455,0.5852,0
2015-07-08,2YUSY,0.5852,0.5852,0.5374,0.5414,0
2015-07-09,2YUSY,0.5414,0.5851,0.5394,0.5851,0
2015-07-10,2YUSY,0.611,0.653,0.5969,0.637,0
2015-07-13,2YUSY,0.631,0.6812,0.629,0.6772,0
2015-07-14,2YUSY,0.6752,0.6772,0.629,0.637,0
2015-07-15,2YUSY,0.633,0.6733,0.6189,0.625,0
2015-07-16,2YUSY,0.6411,0.6713,0.6371,0.6552,0
2015-07-17,2YUSY,0.6613,0.6817,0.6533,0.6655,0
2015-07-20,2YUSY,0.6878,0.7061,0.6777,0.7061,0
2015-07-21,2YUSY,0.7020000000000001,0.7103,0.6737,0.6778,0
2015-07-22,2YUSY,0.6818,0.7083,0.6778,0.7063,0
2015-07-23,2YUSY,0.7104,0.7227,0.6901,0.6942,0
2015-07-24,2YUSY,0.7003,0.7027,0.6618,0.6781,0
2015-07-27,2YUSY,0.6761,0.6782,0.6434,0.6495,0
2015-07-28,2YUSY,0.6536,0.6783,0.6536,0.6679999999999999,0
2015-07-29,2YUSY,0.6841,0.7117,0.6821,0.7038,0
2015-07-30,2YUSY,0.7078,0.7492,0.7078,0.7275,0
2015-07-31,2YUSY,0.7295,0.7477,0.6566,0.6606,0
2015-08-03,2YUSY,0.6705,0.6884,0.6488,0.6646,0
2015-08-04,2YUSY,0.6646,0.7322,0.6646,0.7322,0
2015-08-05,2YUSY,0.7361,0.7562,0.7064,0.7263,0
2015-08-06,2YUSY,0.7263,0.7285,0.6926,0.7006,0
2015-08-07,2YUSY,0.7085,0.7449,0.6889,0.7169,0
2015-08-10,2YUSY,0.7209,0.737,0.7170000000000001,0.721,0
2015-08-11,2YUSY,0.723,0.725,0.657,0.6729999999999999,0
2015-08-12,2YUSY,0.675,0.677,0.617,0.6651,0
2015-08-13,2YUSY,0.6611,0.7093,0.6409999999999999,0.7073,0
2015-08-14,2YUSY,0.7113,0.7339,0.6973,0.7218,0
2015-08-17,2YUSY,0.7178,0.726,0.6936,0.7058,0
2015-08-18,2YUSY,0.7017,0.7261,0.6897,0.718,0
2015-08-19,2YUSY,0.718,0.7344,0.6472,0.6574,0
2015-08-20,2YUSY,0.6614,0.6777,0.6493,0.6533,0
2015-08-21,2YUSY,0.6594,0.6594,0.6128,0.6128,0
2015-08-24,2YUSY,0.6026,0.6087,0.5354,0.568,0
2015-08-25,2YUSY,0.5802,0.6413,0.5781,0.6005,0
2015-08-26,2YUSY,0.6172,0.6916,0.6172,0.672,0
2015-08-27,2YUSY,0.6583,0.7074,0.6485,0.6878,0
2015-08-28,2YUSY,0.6956,0.7275,0.6644,0.7156,0
2015-08-31,2YUSY,0.7354,0.7395,0.7039,0.7375,0
2015-09-01,2YUSY,0.7336,0.7336,0.7001,0.7040000000000001,0
2015-09-02,2YUSY,0.7040000000000001,0.7239,0.6961,0.7081,0
2015-09-03,2YUSY,0.7041,0.7122,0.6805,0.6923,0
2015-09-04,2YUSY,0.7003,0.7286,0.6568,0.7067,0
2015-09-08,2YUSY,0.7067,0.7367,0.6968,0.7327,0
2015-09-09,2YUSY,0.7327,0.7609,0.7327,0.7409,0
2015-09-10,2YUSY,0.7309,0.7451,0.7249,0.733,0
2015-09-11,2YUSY,0.733,0.7375,0.7053,0.7053,0
2015-09-14,2YUSY,0.7174,0.7296,0.6994,0.7256,0
2015-09-15,2YUSY,0.7256,0.8105,0.7177,0.8024,0
2015-09-16,2YUSY,0.7984,0.8148,0.7744,0.8108,0
2015-09-17,2YUSY,0.8108,0.8109999999999999,0.6775,0.6795,0
2015-09-18,2YUSY,0.6815,0.6858,0.6574,0.6777,0
2015-09-21,2YUSY,0.6778,0.7144,0.6737,0.7062,0
2015-09-22,2YUSY,0.7043,0.7104,0.6656,0.6738,0
2015-09-23,2YUSY,0.6875,0.711,0.6758,0.6993,0
2015-09-24,2YUSY,0.7032,0.7072,0.6563,0.6798,0
2015-09-25,2YUSY,0.7189,0.7390000000000001,0.6879,0.6918,0
2015-09-28,2YUSY,0.6879,0.7076,0.6683,0.6683,0
2015-09-29,2YUSY,0.6722,0.6802,0.6368,0.6486,0
2015-09-30,2YUSY,0.6486,0.6723,0.625,0.6289,0
2015-10-01,2YUSY,0.6329,0.6546,0.6289,0.6447,0
2015-10-02,2YUSY,0.6507,0.6686,0.5379,0.5794,0
2015-10-05,2YUSY,0.5775,0.6131,0.5695,0.6052,0
2015-10-06,2YUSY,0.6012,0.6111,0.5892,0.6012,0
2015-10-07,2YUSY,0.6012,0.6369,0.5972,0.625,0
2015-10-08,2YUSY,0.623,0.6529,0.6011,0.633,0
2015-10-09,2YUSY,0.631,0.653,0.621,0.637,0
2015-10-13,2YUSY,0.637,0.637,0.6129,0.617,0
2015-10-14,2YUSY,0.617,0.619,0.5487,0.5487,0
2015-10-15,2YUSY,0.5547,0.6008,0.5527,0.5968,0
2015-10-16,2YUSY,0.6008,0.6129,0.5886,0.6088,0
2015-10-19,2YUSY,0.6048,0.6169,0.5866,0.5866,0
2015-10-20,2YUSY,0.5886,0.6331,0.5845,0.629,0
2015-10-21,2YUSY,0.629,0.6371,0.6087,0.6209,0
2015-10-22,2YUSY,0.6209,0.6372,0.5884,0.6006,0
2015-10-23,2YUSY,0.6128,0.6413,0.6046,0.6413,0
2015-10-26,2YUSY,0.6393,0.6454,0.6209,0.6372,0
2015-10-27,2YUSY,0.6352,0.6372,0.6086,0.6209,0
2015-10-28,2YUSY,0.6209,0.7173,0.6209,0.7029,0
