Date,Code,Open,High,Low,Close,Volume
2015-01-02,BTCUSD,314.73,315.57,312.57,315.03,0
2015-01-05,BTCUSD,259.56,277.97,259.56,270.93,0
2015-01-06,BTCUSD,271.77,286.96,270.89,283.77,0
2015-01-07,BTCUSD,283.74,300.24,282.93,294.92,0
2015-01-08,BTCUSD,295.33,296.1,282.41,283.53,0
2015-01-09,BTCUSD,283.03,290.94,280.36,290.18,0
2015-01-12,BTCUSD,266.36,271.78,264.19,269.32,0
2015-01-13,BTCUSD,269.27,269.27,219.91,219.91,0
2015-01-14,BTCUSD,221.75,226.94,170.09,172.95,0
2015-01-15,BTCUSD,173.72,229.13,170.44,207.25,0
2015-01-16,BTCUSD,207.25,222.02,199.18,207.09,0
2015-01-19,BTCUSD,209.03,216.68,206.77,214.53,0
2015-01-20,BTCUSD,214.63,215.61,204.8,210.23,0
2015-01-21,BTCUSD,210.46,226.9,210.37,226.69,0
2015-01-22,BTCUSD,226.7,236.84,223.11,231.13,0
2015-01-23,BTCUSD,231.17,235.03,224.4,234.02,0
2015-01-26,BTCUSD,253.03,307.97,252.32,267.64,0
2015-01-27,BTCUSD,268.55,274.88,250.94,262.18,0
2015-01-28,BTCUSD,262.19,265.14,225.27,231.36,0
2015-01-29,BTCUSD,231.4,238.06,220.1,231.79,0
2015-01-30,BTCUSD,231.5,242.72,226.14,229.65,0
2015-02-02,BTCUSD,227.68,231.91,222.22,231.91,0
2015-02-03,BTCUSD,232.82,246.18,224.11,228.59,0
2015-02-04,BTCUSD,228.55,230.02,220.72,224.43,0
2015-02-05,BTCUSD,224.48,227.96,214.66,217.28,0
2015-02-06,BTCUSD,217.24,225.54,216.46,223.97,0
2015-02-09,BTCUSD,222.79,223.85,217.09,220.93,0
2015-02-10,BTCUSD,221.01,222.21,215.46,220.68,0
2015-02-11,BTCUSD,220.63,223.55,218.32,219.23,0
2015-02-12,BTCUSD,219.2,222.07,217.62,222.0,0
2015-02-13,BTCUSD,221.97,240.24,221.07,237.33,0
2015-02-16,BTCUSD,233.21,239.59,228.31,236.16,0
2015-02-17,BTCUSD,236.1,246.14,232.33,242.3,0
2015-02-18,BTCUSD,242.23,244.35,231.74,234.49,0
2015-02-19,BTCUSD,234.47,243.11,234.43,240.47,0
2015-02-20,BTCUSD,240.57,247.14,239.22,242.17,0
2015-02-23,BTCUSD,235.39,239.64,231.78,238.84,0
2015-02-24,BTCUSD,238.71,239.49,235.74,238.83,0
2015-02-25,BTCUSD,238.73,239.36,235.55,237.26,0
2015-02-26,BTCUSD,237.28,237.77,233.86,236.28,0
2015-02-27,BTCUSD,236.23,257.51,236.04,254.38,0
2015-03-02,BTCUSD,258.34,270.64,257.1,269.11,0
2015-03-03,BTCUSD,269.03,286.28,267.04,282.75,0
2015-03-04,BTCUSD,282.75,283.38,266.47,272.07,0
2015-03-05,BTCUSD,272.13,280.4,263.63,275.1,0
2015-03-06,BTCUSD,274.98,276.7,269.39,273.11,0
2015-03-09,BTCUSD,274.08,291.95,273.94,288.33,0
2015-03-10,BTCUSD,288.33,300.34,288.33,292.31,0
2015-03-11,BTCUSD,292.35,296.75,288.88,295.27,0
2015-03-12,BTCUSD,295.43,296.74,291.83,294.06,0
2015-03-13,BTCUSD,293.95,294.14,287.1,288.96,0
2015-03-16,BTCUSD,285.6,293.93,284.88,290.5,0
2015-03-17,BTCUSD,290.5,291.76,283.41,284.29,0
2015-03-18,BTCUSD,284.29,284.8,248.41,254.14,0
2015-03-19,BTCUSD,254.39,263.07,246.79,260.17,0
2015-03-20,BTCUSD,260.19,264.24,258.39,260.76,0
2015-03-23,BTCUSD,268.26,270.04,260.65,266.65,0
2015-03-24,BTCUSD,266.53,266.61,242.88,248.07,0
2015-03-25,BTCUSD,247.92,249.2,236.04,246.26,0
2015-03-26,BTCUSD,246.15,254.44,244.72,247.59,0
2015-03-27,BTCUSD,247.67,249.21,244.34,248.32,0
2015-03-30,BTCUSD,241.06,248.6,236.42,246.29,0
2015-03-31,BTCUSD,246.16,248.176,241.138,245.014,0
2015-04-01,BTCUSD,244.92,247.06,240.13,246.45,0
2015-04-02,BTCUSD,246.34,254.2,244.3,251.27,0
2015-04-03,BTCUSD,251.33,255.75,250.94,253.33,0
2015-04-06,BTCUSD,256.92,261.14,253.6,255.4,0
2015-04-07,BTCUSD,255.2,255.73,251.65,253.6,0
2015-04-08,BTCUSD,253.58,253.65,242.27,245.28,0
2015-04-09,BTCUSD,245.27,245.36,237.9,242.45,0
2015-04-10,BTCUSD,242.55,243.5,231.78,235.11,0
2015-04-13,BTCUSD,235.69,236.79,220.58,222.06,0
2015-04-14,BTCUSD,222.21,225.38,215.46,216.04,0
2015-04-15,BTCUSD,216.12,222.37,216.12,220.95,0
2015-04-16,BTCUSD,220.99,229.26,220.85,229.12,0
2015-04-17,BTCUSD,229.12,229.24,220.47,223.49,0
2015-04-20,BTCUSD,222.2,226.22,221.13,223.26,0
2015-04-21,BTCUSD,223.25,234.95,223.19,233.02,0
2015-04-22,BTCUSD,233.04,238.16,232.97,233.2,0
2015-04-23,BTCUSD,233.31,235.57,233.21,234.42,0
2015-04-24,BTCUSD,234.53,236.33,229.57,231.28,0
2015-04-27,BTCUSD,218.62,232.34,217.5,232.13,0
2015-04-28,BTCUSD,231.96,232.09,222.84,225.44,0
2015-04-29,BTCUSD,225.43,227.16,223.21,226.23,0
2015-04-30,BTCUSD,226.19,239.64,225.23,236.66,0
2015-05-01,BTCUSD,236.28,239.34,233.63,234.7,0
2015-05-04,BTCUSD,239.95,242.91,237.55,238.61,0
2015-05-05,BTCUSD,238.61,239.22,231.9,235.8,0
2015-05-06,BTCUSD,235.77,236.88,228.85,230.59,0
2015-05-07,BTCUSD,230.38,239.92,228.93,238.96,0
2015-05-08,BTCUSD,238.96,245.91,236.09,244.73,0
2015-05-11,BTCUSD,239.62,244.07,238.78,242.27,0
2015-05-12,BTCUSD,242.23,242.71,239.46,241.26,0
2015-05-13,BTCUSD,241.24,243.58,234.42,234.95,0
2015-05-14,BTCUSD,234.42,238.32,233.27,237.03,0
2015-05-15,BTCUSD,236.98,238.64,236.47,237.42,0
2015-05-18,BTCUSD,235.83,236.68,231.72,232.36,0
2015-05-19,BTCUSD,232.43,234.01,231.77,232.44,0
2015-05-20,BTCUSD,232.5,234.89,231.72,233.85,0
2015-05-21,BTCUSD,233.85,236.45,233.61,235.38,0
2015-05-22,BTCUSD,235.32,241.41,235.15,240.77,0
2015-05-25,BTCUSD,241.66,241.73,236.67,237.26,0
2015-05-26,BTCUSD,237.26,238.73,235.7,237.65,0
2015-05-27,BTCUSD,237.67,238.8,236.43,236.94,0
2015-05-28,BTCUSD,236.94,237.9,236.54,237.62,0
2015-05-29,BTCUSD,237.63,237.68,235.44,237.2,0
2015-06-01,BTCUSD,230.89,231.78,221.71,221.84,0
2015-06-02,BTCUSD,222.09,226.67,221.88,225.97,0
2015-06-03,BTCUSD,225.93,227.39,223.8,226.16,0
2015-06-04,BTCUSD,226.22,226.47,224.41,224.91,0
2015-06-05,BTCUSD,224.94,226.03,223.08,225.79,0
2015-06-08,BTCUSD,223.53,229.77,223.32,228.62,0
2015-06-09,BTCUSD,228.71,231.16,227.95,229.84,0
2015-06-10,BTCUSD,229.73,230.15,227.98,229.04,0
2015-06-11,BTCUSD,228.99,230.39,228.84,229.67,0
2015-06-12,BTCUSD,229.62,231.55,229.6,230.82,0
2015-06-15,BTCUSD,233.41,238.6,233.29,237.25,0
2015-06-16,BTCUSD,237.2,254.1,236.48,247.32,0
2015-06-17,BTCUSD,247.41,257.87,246.0,248.91,0
2015-06-18,BTCUSD,248.82,251.67,243.47,248.99,0
2015-06-19,BTCUSD,248.95,250.66,244.43,244.43,0
2015-06-22,BTCUSD,243.55,248.21,243.52,247.89,0
2015-06-23,BTCUSD,247.92,248.14,242.92,244.8,0
2015-06-24,BTCUSD,244.82,244.83,239.97,240.68,0
2015-06-25,BTCUSD,240.56,243.62,239.92,241.65,0
2015-06-26,BTCUSD,241.64,242.64,240.67,241.21,0
2015-06-29,BTCUSD,248.02,256.4,247.97,254.8,0
2015-06-30,BTCUSD,254.946,268.226,254.836,263.05400000000003,0
2015-07-01,BTCUSD,263.0,264.55,254.74,258.88,0
2015-07-02,BTCUSD,258.9,260.96,253.42,254.65,0
2015-07-03,BTCUSD,254.69,256.1,252.29,254.67,0
2015-07-06,BTCUSD,269.8,276.27,266.84,273.62,0
2015-07-07,BTCUSD,273.59,273.81,263.11,265.13,0
2015-07-08,BTCUSD,264.96,272.38,263.57,265.79,0
2015-07-09,BTCUSD,265.86,271.98,265.47,270.41,0
2015-07-10,BTCUSD,270.39,294.99,267.69,293.14,0
2015-07-13,BTCUSD,307.06,310.29,277.72,291.41,0
2015-07-14,BTCUSD,291.19,295.88,285.34,288.63,0
2015-07-15,BTCUSD,288.56,292.33,286.11,289.37,0
2015-07-16,BTCUSD,289.37,289.94,274.43,278.96,0
2015-07-17,BTCUSD,279.1,279.67,271.61,278.27,0
2015-07-20,BTCUSD,272.57,278.37,271.69,276.52,0
2015-07-21,BTCUSD,276.51,280.47,276.23,277.83,0
2015-07-22,BTCUSD,277.82,277.82,273.91,275.32,0
2015-07-23,BTCUSD,275.33,277.49,275.21,275.6,0
2015-07-24,BTCUSD,275.6,289.03,275.09,288.88,0
2015-07-27,BTCUSD,291.29,295.08,285.94,294.76,0
2015-07-28,BTCUSD,294.75,296.15,292.11,293.84,0
2015-07-29,BTCUSD,293.79,294.66,287.8,290.16,0
2015-07-30,BTCUSD,290.15,290.15,285.51,286.8,0
2015-07-31,BTCUSD,286.8,288.58,281.77,285.19,0
2015-08-03,BTCUSD,281.22,284.79,279.33,282.62,0
2015-08-04,BTCUSD,282.59,285.18,280.42,284.92,0
2015-08-05,BTCUSD,284.87,285.04,281.02,281.99,0
