Date,Code,Open,High,Low,Close,Volume
2015-01-05,NKX,17325.68,17540.92,17219.22,17408.71,0
2015-01-06,NKX,17101.58,17111.36,16881.73,16883.19,0
2015-01-07,NKX,16808.26,16974.61,16808.26,16885.33,0
2015-01-08,NKX,17067.4,17243.71,17016.09,17167.1,0
2015-01-09,NKX,17318.74,17342.65,17129.53,17197.73,0
2015-01-13,NKX,16970.88,17087.71,16828.27,17087.71,0
2015-01-14,NKX,16961.82,17036.72,16770.56,16795.96,0
2015-01-15,NKX,16872.95,17141.98,16856.22,17108.7,0
2015-01-16,NKX,16812.96,16864.34,16592.57,16864.16,0
2015-01-19,NKX,17000.78,17039.8,16911.58,17014.29,0
2015-01-20,NKX,17071.65,17366.3,17066.77,17366.3,0
2015-01-21,NKX,17308.72,17329.03,17181.55,17280.48,0
2015-01-22,NKX,17306.64,17355.74,17229.21,17329.02,0
2015-01-23,NKX,17520.63,17532.06,17460.76,17511.75,0
2015-01-26,NKX,17285.71,17471.94,17285.71,17468.52,0
2015-01-27,NKX,17649.4,17768.41,17633.47,17768.3,0
2015-01-28,NKX,17615.93,17850.59,17615.93,17795.73,0
2015-01-29,NKX,17666.91,17778.83,17575.1,17606.22,0
2015-01-30,NKX,17788.74,17808.47,17661.1,17674.39,0
2015-02-02,NKX,17536.61,17628.4,17459.45,17558.04,0
2015-02-03,NKX,17654.6,17654.6,17271.87,17335.85,0
2015-02-04,NKX,17549.3,17743.11,17535.04,17678.74,0
2015-02-05,NKX,17589.21,17619.34,17484.67,17504.62,0
2015-02-06,NKX,17696.18,17700.67,17603.07,17648.5,0
2015-02-09,NKX,17790.31,17799.49,17653.61,17711.93,0
2015-02-10,NKX,17662.67,17673.27,17550.03,17652.68,0
2015-02-12,NKX,17899.4,18005.45,17884.34,17979.72,0
2015-02-13,NKX,17892.1,17962.11,17864.55,17913.36,0
2015-02-16,NKX,18024.01,18074.26,17978.9,18004.77,0
2015-02-17,NKX,17949.7,18009.45,17901.26,17987.09,0
2015-02-18,NKX,18103.98,18202.61,18092.32,18199.17,0
2015-02-19,NKX,18237.35,18322.5,18237.35,18264.79,0
2015-02-20,NKX,18336.5,18360.92,18297.67,18332.3,0
2015-02-23,NKX,18499.58,18509.08,18402.02,18466.92,0
2015-02-24,NKX,18468.39,18603.48,18427.98,18603.48,0
2015-02-25,NKX,18636.34,18648.77,18552.81,18585.2,0
2015-02-26,NKX,18587.87,18790.83,18587.13,18785.79,0
2015-02-27,NKX,18844.28,18865.39,18714.64,18797.94,0
2015-03-02,NKX,18869.4,18939.17,18775.23,18826.88,0
2015-03-03,NKX,18910.52,18910.52,18730.57,18815.16,0
2015-03-04,NKX,18716.78,18732.66,18586.84,18703.6,0
2015-03-05,NKX,18658.16,18767.5,18655.36,18751.84,0
