Date,Code,Open,High,Low,Close,Volume
2015-01-02,SPX,2058.9,2072.36,2046.04,2058.2,0
2015-01-05,SPX,2054.44,2054.44,2017.34,2020.58,0
2015-01-06,SPX,2022.15,2030.25,1992.44,2002.61,0
2015-01-07,SPX,2005.55,2029.61,2005.55,2025.9,0
2015-01-08,SPX,2030.61,2064.08,2030.61,2062.14,0
2015-01-09,SPX,2063.45,2064.43,2038.33,2044.81,0
2015-01-12,SPX,2046.13,2049.3,2022.58,2028.26,0
2015-01-13,SPX,2031.58,2056.93,2008.25,2023.03,0
2015-01-14,SPX,2018.4,2018.4,1988.44,2011.27,0
2015-01-15,SPX,2013.75,2021.35,1991.47,1992.67,0
2015-01-16,SPX,1992.25,2020.46,1988.12,2019.42,0
2015-01-20,SPX,2020.76,2028.94,2004.49,2022.55,0
2015-01-21,SPX,2020.19,2038.29,2012.04,2032.12,0
2015-01-22,SPX,2034.3,2064.62,2026.38,2063.15,0
2015-01-23,SPX,2062.98,2062.98,2050.54,2051.82,0
2015-01-26,SPX,2050.42,2057.62,2040.97,2057.09,0
2015-01-27,SPX,2047.86,2047.86,2019.91,2029.55,0
2015-01-28,SPX,2032.34,2042.49,2001.49,2002.16,0
2015-01-29,SPX,2002.45,2024.64,1989.18,2021.25,0
2015-01-30,SPX,2019.35,2023.32,1993.38,1994.99,0
2015-02-02,SPX,1996.67,2021.66,1980.9,2020.85,0
2015-02-03,SPX,2022.71,2050.3,2022.71,2050.03,0
2015-02-04,SPX,2048.86,2054.74,2036.72,2041.51,0
2015-02-05,SPX,2043.45,2063.55,2043.45,2062.52,0
2015-02-06,SPX,2062.28,2072.4,2049.97,2055.47,0
2015-02-09,SPX,2053.47,2056.16,2041.88,2046.74,0
2015-02-10,SPX,2049.38,2070.86,2048.62,2068.59,0
2015-02-11,SPX,2068.55,2073.48,2057.99,2068.53,0
2015-02-12,SPX,2069.98,2088.53,2069.98,2088.48,0
2015-02-13,SPX,2088.78,2097.03,2086.7,2096.99,0
2015-02-17,SPX,2096.47,2101.3,2089.8,2100.34,0
2015-02-18,SPX,2099.16,2100.23,2092.15,2099.68,0
2015-02-19,SPX,2099.25,2102.13,2090.79,2097.45,0
2015-02-20,SPX,2097.65,2110.61,2085.44,2110.3,0
2015-02-23,SPX,2109.83,2110.05,2103.0,2109.66,0
2015-02-24,SPX,2109.1,2117.94,2105.87,2115.48,0
2015-02-25,SPX,2115.3,2119.59,2109.89,2113.86,0
2015-02-26,SPX,2113.91,2113.91,2103.76,2110.74,0
2015-02-27,SPX,2110.88,2112.74,2103.75,2104.5,0
2015-03-02,SPX,2105.23,2117.52,2104.5,2117.39,0
2015-03-03,SPX,2115.76,2115.76,2098.26,2107.78,0
2015-03-04,SPX,2107.72,2107.72,2094.49,2098.53,0
2015-03-05,SPX,2098.54,2104.25,2095.22,2101.04,0
2015-03-06,SPX,2100.91,2100.91,2067.27,2071.26,0
2015-03-09,SPX,2072.25,2083.49,2072.21,2079.43,0
2015-03-10,SPX,2076.14,2076.14,2044.16,2044.16,0
2015-03-11,SPX,2044.69,2050.08,2039.69,2040.24,0
2015-03-12,SPX,2041.1,2066.41,2041.1,2065.95,0
2015-03-13,SPX,2064.56,2064.56,2041.17,2053.4,0
2015-03-16,SPX,2055.35,2081.41,2055.35,2081.19,0
2015-03-17,SPX,2080.59,2080.59,2065.08,2074.28,0
2015-03-18,SPX,2072.84,2106.85,2061.23,2099.5,0
2015-03-19,SPX,2098.69,2098.69,2085.56,2089.27,0
2015-03-20,SPX,2090.32,2113.92,2090.32,2108.1,0
2015-03-23,SPX,2107.99,2114.86,2104.42,2104.42,0
2015-03-24,SPX,2103.94,2107.63,2091.5,2091.5,0
2015-03-25,SPX,2093.1,2097.43,2061.05,2061.05,0
2015-03-26,SPX,2059.94,2067.15,2045.5,2056.15,0
2015-03-27,SPX,2055.78,2062.83,2052.96,2061.02,0
2015-03-30,SPX,2064.11,2088.97,2064.11,2086.24,0
2015-03-31,SPX,2084.05,2084.05,2067.04,2067.89,0
2015-04-01,SPX,2067.63,2067.63,2048.38,2059.69,0
2015-04-02,SPX,2060.03,2072.17,2057.32,2066.96,0
2015-04-06,SPX,2064.87,2086.99,2056.52,2080.62,0
2015-04-07,SPX,2080.79,2089.81,2076.1,2076.33,0
2015-04-08,SPX,2076.94,2086.69,2073.3,2081.9,0
2015-04-09,SPX,2081.29,2093.31,2074.29,2091.18,0
2015-04-10,SPX,2091.51,2102.61,2091.51,2102.06,0
2015-04-13,SPX,2102.03,2107.65,2092.33,2092.43,0
2015-04-14,SPX,2092.28,2098.62,2083.24,2095.84,0
2015-04-15,SPX,2097.82,2111.91,2097.82,2106.63,0
2015-04-16,SPX,2105.96,2111.3,2100.02,2104.99,0
2015-04-17,SPX,2102.58,2102.58,2072.37,2081.18,0
2015-04-20,SPX,2084.11,2103.94,2084.11,2100.4,0
2015-04-21,SPX,2102.82,2109.64,2094.38,2097.29,0
2015-04-22,SPX,2098.27,2109.98,2091.05,2107.96,0
2015-04-23,SPX,2107.21,2120.49,2103.19,2112.93,0
2015-04-24,SPX,2112.8,2120.92,2112.8,2117.69,0
2015-04-27,SPX,2119.29,2125.92,2107.04,2108.92,0
2015-04-28,SPX,2108.35,2116.04,2094.89,2114.76,0
2015-04-29,SPX,2112.49,2113.65,2097.41,2106.85,0
2015-04-30,SPX,2105.52,2105.52,2077.59,2085.51,0
2015-05-01,SPX,2087.38,2108.41,2087.38,2108.29,0
2015-05-04,SPX,2110.23,2120.95,2110.23,2114.49,0
2015-05-05,SPX,2112.63,2115.24,2088.46,2089.46,0
2015-05-06,SPX,2091.26,2098.42,2067.93,2080.15,0
2015-05-07,SPX,2079.96,2092.9,2074.99,2088.0,0
2015-05-08,SPX,2092.13,2117.66,2092.13,2116.1,0
2015-05-11,SPX,2115.56,2117.69,2104.58,2105.33,0
2015-05-12,SPX,2102.87,2105.06,2085.57,2099.12,0
2015-05-13,SPX,2099.62,2110.19,2096.04,2098.48,0
2015-05-14,SPX,2100.43,2121.45,2100.43,2121.1,0
2015-05-15,SPX,2122.07,2123.89,2116.81,2122.73,0
2015-05-18,SPX,2121.3,2131.78,2120.01,2129.2,0
2015-05-19,SPX,2129.45,2133.02,2124.5,2127.83,0
2015-05-20,SPX,2127.79,2134.72,2122.59,2125.85,0
2015-05-21,SPX,2125.55,2134.28,2122.95,2130.82,0
2015-05-22,SPX,2130.36,2132.15,2126.06,2126.06,0
2015-05-26,SPX,2125.34,2125.34,2099.18,2104.2,0
2015-05-27,SPX,2105.13,2126.22,2105.13,2123.48,0
2015-05-28,SPX,2122.27,2122.27,2112.86,2120.79,0
2015-05-29,SPX,2120.66,2120.66,2104.89,2107.39,0
2015-06-01,SPX,2108.64,2119.15,2102.54,2111.73,0
2015-06-02,SPX,2110.41,2117.59,2099.14,2109.6,0
2015-06-03,SPX,2110.64,2121.92,2109.61,2114.07,0
2015-06-04,SPX,2112.35,2112.89,2093.23,2095.84,0
2015-06-05,SPX,2095.09,2100.99,2085.67,2092.83,0
2015-06-08,SPX,2092.34,2093.01,2079.11,2079.28,0
2015-06-09,SPX,2079.07,2085.62,2072.14,2080.15,0
2015-06-10,SPX,2081.12,2108.5,2081.12,2105.2,0
2015-06-11,SPX,2106.24,2115.02,2106.24,2108.86,0
2015-06-12,SPX,2107.43,2107.43,2091.33,2094.11,0
2015-06-15,SPX,2091.34,2091.34,2072.49,2084.43,0
2015-06-16,SPX,2084.26,2097.4,2082.1,2096.29,0
2015-06-17,SPX,2097.4,2106.79,2088.86,2100.44,0
2015-06-18,SPX,2101.58,2126.65,2101.58,2121.24,0
2015-06-19,SPX,2121.06,2121.64,2109.45,2109.99,0
2015-06-22,SPX,2112.5,2129.87,2112.5,2122.85,0
2015-06-23,SPX,2123.16,2128.03,2119.89,2124.2,0
2015-06-24,SPX,2123.65,2125.1,2108.58,2108.58,0
2015-06-25,SPX,2109.96,2116.04,2101.78,2102.31,0
2015-06-26,SPX,2102.62,2108.92,2095.38,2101.49,0
2015-06-29,SPX,2098.63,2098.63,2056.64,2057.64,0
2015-06-30,SPX,2061.19,2074.28,2056.32,2063.11,0
2015-07-01,SPX,2067.0,2082.78,2067.0,2077.42,0
2015-07-02,SPX,2078.03,2085.06,2071.02,2076.78,0
2015-07-06,SPX,2073.95,2078.61,2058.4,2068.76,0
2015-07-07,SPX,2069.52,2083.74,2044.02,2081.34,0
2015-07-08,SPX,2077.66,2077.66,2044.66,2046.68,0
2015-07-09,SPX,2049.73,2074.28,2049.73,2051.31,0
2015-07-10,SPX,2052.74,2081.31,2052.74,2076.62,0
2015-07-13,SPX,2080.03,2100.67,2080.03,2099.6,0
2015-07-14,SPX,2099.72,2111.98,2098.18,2108.95,0
2015-07-15,SPX,2109.01,2114.14,2102.49,2107.4,0
2015-07-16,SPX,2110.55,2124.42,2110.55,2124.29,0
2015-07-17,SPX,2126.8,2128.91,2119.88,2126.64,0
2015-07-20,SPX,2126.85,2132.82,2123.66,2128.28,0
2015-07-21,SPX,2127.55,2128.49,2115.4,2119.21,0
2015-07-22,SPX,2118.21,2118.51,2110.0,2114.15,0
2015-07-23,SPX,2114.16,2116.87,2098.63,2102.15,0
2015-07-24,SPX,2102.24,2106.01,2077.09,2079.65,0
2015-07-27,SPX,2078.19,2078.19,2063.52,2067.64,0
2015-07-28,SPX,2070.75,2095.6,2069.09,2093.25,0
2015-07-29,SPX,2094.7,2110.6,2094.08,2108.57,0
2015-07-30,SPX,2106.78,2110.48,2094.97,2108.63,0
