Date,Code,Open,High,Low,Close,Volume
2015-01-02,USDEUR,0.8264,0.8332,0.8262,0.8332,0
2015-01-05,USDEUR,0.8370000000000001,0.8412,0.8351,0.8381,0
2015-01-06,USDEUR,0.8381,0.8444,0.8355,0.8424,0
2015-01-07,USDEUR,0.8421,0.8473,0.8407,0.8451,0
2015-01-08,USDEUR,0.8451,0.8508,0.8441,0.8482,0
2015-01-09,USDEUR,0.8482,0.85,0.8443,0.8444,0
2015-01-12,USDEUR,0.8429,0.8484,0.8425,0.8454,0
2015-01-13,USDEUR,0.8454,0.8508,0.8433,0.8493,0
2015-01-14,USDEUR,0.8493,0.8525,0.8443,0.8483,0
2015-01-15,USDEUR,0.8483,0.8645,0.8483,0.8602,0
2015-01-16,USDEUR,0.8602,0.8727,0.8586,0.8647,0
2015-01-19,USDEUR,0.8648,0.8658,0.8593,0.8619,0
2015-01-20,USDEUR,0.8619,0.8666,0.8611,0.8655,0
2015-01-21,USDEUR,0.8655,0.8665,0.8567,0.8613,0
2015-01-22,USDEUR,0.8612,0.8837,0.8585,0.8797,0
2015-01-23,USDEUR,0.8798,0.8998,0.8794,0.892,0
2015-01-26,USDEUR,0.8972,0.9011,0.8855,0.8901,0
2015-01-27,USDEUR,0.89,0.8911,0.8756,0.8795,0
2015-01-28,USDEUR,0.8795,0.8872,0.8787,0.8869,0
2015-01-29,USDEUR,0.8869,0.8881,0.8798,0.8828,0
2015-01-30,USDEUR,0.8828,0.8867,0.8801,0.8851,0
2015-02-02,USDEUR,0.8841,0.8857,0.8803,0.8823,0
2015-02-03,USDEUR,0.8823,0.884,0.8672,0.8724,0
2015-02-04,USDEUR,0.8724,0.8838,0.8709,0.8824,0
2015-02-05,USDEUR,0.8824,0.8848,0.8698,0.8714,0
2015-02-06,USDEUR,0.8714,0.8841,0.8713,0.8836,0
2015-02-09,USDEUR,0.884,0.8874,0.8805,0.8831,0
2015-02-10,USDEUR,0.8831,0.8872,0.8815,0.8838,0
2015-02-11,USDEUR,0.8838,0.8866,0.8809999999999999,0.8826,0
2015-02-12,USDEUR,0.8827,0.8849,0.8756,0.8772,0
2015-02-13,USDEUR,0.8772,0.8788,0.8741,0.8772,0
2015-02-16,USDEUR,0.8773,0.8835,0.8751,0.8814,0
2015-02-17,USDEUR,0.8814,0.8833,0.8735,0.8766,0
2015-02-18,USDEUR,0.8765,0.8824,0.8761,0.8771,0
2015-02-19,USDEUR,0.8771,0.8807,0.8735,0.8801,0
2015-02-20,USDEUR,0.8801,0.8867,0.8751,0.8786,0
2015-02-23,USDEUR,0.8788,0.8854,0.8778,0.8822,0
2015-02-24,USDEUR,0.8822,0.8859,0.8806,0.882,0
2015-02-25,USDEUR,0.8819,0.883,0.8782,0.8801,0
2015-02-26,USDEUR,0.8801,0.8942,0.8789,0.8934,0
2015-02-27,USDEUR,0.8933,0.8949,0.8894,0.8937,0
2015-03-02,USDEUR,0.8945,0.8962,0.8898,0.8946,0
2015-03-03,USDEUR,0.8946,0.8966,0.8916,0.8945,0
2015-03-04,USDEUR,0.8945,0.9041,0.8941,0.9026,0
2015-03-05,USDEUR,0.9026,0.9102,0.8999,0.9066,0
2015-03-06,USDEUR,0.9066,0.9225,0.9065,0.9218,0
2015-03-09,USDEUR,0.9227,0.923,0.917,0.922,0
2015-03-10,USDEUR,0.922,0.9374,0.922,0.9359,0
2015-03-11,USDEUR,0.9359,0.9515,0.9333,0.9479,0
2015-03-12,USDEUR,0.9479,0.9522,0.9361,0.9415,0
2015-03-13,USDEUR,0.9415,0.9559,0.9404,0.953,0
2015-03-16,USDEUR,0.9526,0.9544,0.9418,0.9462,0
2015-03-17,USDEUR,0.9462,0.9479,0.939,0.9441,0
2015-03-18,USDEUR,0.9441,0.9453,0.9077,0.924,0
2015-03-19,USDEUR,0.924,0.9421,0.916,0.9373,0
2015-03-20,USDEUR,0.9373,0.9385,0.919,0.924,0
2015-03-23,USDEUR,0.9225,0.9287,0.9115,0.9125,0
2015-03-24,USDEUR,0.9125,0.9182,0.9068,0.9163,0
2015-03-25,USDEUR,0.9163,0.9174,0.9079,0.912,0
2015-03-26,USDEUR,0.912,0.921,0.9048,0.9192,0
2015-03-27,USDEUR,0.9192,0.9258,0.9137,0.9184,0
2015-03-30,USDEUR,0.9183,0.9251,0.9178,0.9238,0
2015-03-31,USDEUR,0.92379,0.93343,0.92204,0.93105,0
2015-04-01,USDEUR,0.9311,0.9329,0.9259,0.9288,0
2015-04-02,USDEUR,0.9288,0.9302,0.9171,0.9191,0
2015-04-03,USDEUR,0.9191,0.9205,0.9071,0.9116,0
2015-04-06,USDEUR,0.9095,0.9166,0.9062,0.9146,0
2015-04-07,USDEUR,0.9145,0.9256,0.9128,0.925,0
2015-04-08,USDEUR,0.9249,0.929,0.9185,0.9275,0
2015-04-09,USDEUR,0.9275,0.94,0.927,0.9379,0
2015-04-10,USDEUR,0.9379,0.9462,0.936,0.9428,0
2015-04-13,USDEUR,0.9438,0.9505,0.9417,0.9462,0
2015-04-14,USDEUR,0.9462,0.9495,0.934,0.9385,0
2015-04-15,USDEUR,0.9386,0.946,0.9345,0.9364,0
2015-04-16,USDEUR,0.9364,0.9412,0.9244,0.929,0
2015-04-17,USDEUR,0.929,0.9314,0.9218,0.9244,0
2015-04-20,USDEUR,0.9249,0.9333,0.9243,0.9312,0
2015-04-21,USDEUR,0.9312,0.9381,0.9275,0.9313,0
2015-04-22,USDEUR,0.9313,0.9338,0.9259,0.9327,0
2015-04-23,USDEUR,0.9327,0.9374,0.922,0.9241,0
2015-04-24,USDEUR,0.9241,0.9272,0.9175,0.9203,0
2015-04-27,USDEUR,0.9202,0.9243,0.9152,0.9188,0
2015-04-28,USDEUR,0.9188,0.9207,0.9099,0.9111,0
2015-04-29,USDEUR,0.9111,0.9124,0.8939,0.8997,0
2015-04-30,USDEUR,0.8997,0.9028,0.8876,0.8917,0
2015-05-01,USDEUR,0.8917,0.8948,0.8858,0.8919,0
2015-05-04,USDEUR,0.8933,0.899,0.8909999999999999,0.8969,0
2015-05-05,USDEUR,0.8969,0.9036,0.8911,0.8941,0
2015-05-06,USDEUR,0.894,0.8948,0.8795,0.8816,0
2015-05-07,USDEUR,0.8816,0.8899,0.8778,0.8887,0
2015-05-08,USDEUR,0.8887,0.8945,0.8859999999999999,0.8922,0
2015-05-11,USDEUR,0.8927,0.8984,0.8925,0.8967,0
2015-05-12,USDEUR,0.8967,0.8981,0.8867,0.8911,0
2015-05-13,USDEUR,0.8911,0.8926,0.8785,0.8811,0
2015-05-14,USDEUR,0.8811,0.8818,0.8738,0.8767,0
2015-05-15,USDEUR,0.8766,0.883,0.8721,0.8735,0
2015-05-18,USDEUR,0.8738,0.8851,0.8736,0.8838,0
2015-05-19,USDEUR,0.8838,0.8993,0.8829,0.8972,0
2015-05-20,USDEUR,0.8972,0.9039,0.8967,0.9016,0
2015-05-21,USDEUR,0.9016,0.9025,0.8944,0.9002,0
2015-05-22,USDEUR,0.9002,0.9089,0.8923,0.9082,0
2015-05-25,USDEUR,0.9109,0.9124,0.9083,0.9108,0
2015-05-26,USDEUR,0.9108,0.9205,0.9103,0.9197,0
2015-05-27,USDEUR,0.9197,0.9243,0.915,0.9174,0
2015-05-28,USDEUR,0.9174,0.9201,0.9114,0.9124,0
2015-05-29,USDEUR,0.9126,0.9152,0.9087,0.9108,0
2015-06-01,USDEUR,0.9107,0.9185,0.9106,0.9156,0
2015-06-02,USDEUR,0.9155,0.9161,0.8936,0.8968,0
