Date,Code,Open,High,Low,Close,Volume
2015-01-02,USDJPY,119.83,120.73,119.78,120.47,0
2015-01-05,USDJPY,120.53,120.62,119.25,119.29,0
2015-01-06,USDJPY,119.29,119.5,118.05,118.58,0
2015-01-07,USDJPY,118.56,119.64,118.52,119.32,0
2015-01-08,USDJPY,119.32,119.96,119.19,119.77,0
2015-01-09,USDJPY,119.76,119.87,118.43,118.56,0
2015-01-12,USDJPY,118.24,119.3,118.1,118.36,0
2015-01-13,USDJPY,118.36,118.85,117.56,117.89,0
2015-01-14,USDJPY,117.89,117.92,116.1,117.22,0
2015-01-15,USDJPY,117.24,117.92,115.88,116.17,0
2015-01-16,USDJPY,116.18,117.75,115.84,117.62,0
2015-01-19,USDJPY,117.41,117.77,116.92,117.64,0
2015-01-20,USDJPY,117.64,118.85,117.63,118.66,0
2015-01-21,USDJPY,118.66,118.74,117.17,117.91,0
2015-01-22,USDJPY,117.91,118.68,117.23,118.61,0
2015-01-23,USDJPY,118.61,118.8,117.53,117.8,0
2015-01-26,USDJPY,117.63,118.48,117.25,118.4,0
2015-01-27,USDJPY,118.4,118.64,117.32,117.73,0
2015-01-28,USDJPY,117.73,118.24,117.24,117.47,0
2015-01-29,USDJPY,117.47,118.47,117.37,118.32,0
2015-01-30,USDJPY,118.32,118.44,117.28,117.41,0
2015-02-02,USDJPY,117.11,117.85,117.02,117.67,0
2015-02-03,USDJPY,117.66,117.72,116.86,117.54,0
2015-02-04,USDJPY,117.54,117.98,117.05,117.3,0
2015-02-05,USDJPY,117.3,117.58,117.01,117.48,0
2015-02-06,USDJPY,117.48,119.2,117.16,118.84,0
2015-02-09,USDJPY,119.04,119.05,118.32,118.62,0
2015-02-10,USDJPY,118.61,119.59,118.38,119.41,0
2015-02-11,USDJPY,119.41,120.46,119.27,120.29,0
2015-02-12,USDJPY,120.28,120.35,118.49,119.13,0
2015-02-13,USDJPY,119.13,119.18,118.4,118.75,0
2015-02-16,USDJPY,118.61,118.75,118.26,118.49,0
2015-02-17,USDJPY,118.48,119.4,118.22,119.18,0
2015-02-18,USDJPY,119.18,119.39,118.53,118.7,0
2015-02-19,USDJPY,118.7,119.16,118.42,119.02,0
2015-02-20,USDJPY,119.02,119.17,118.28,119.06,0
2015-02-23,USDJPY,119.05,119.33,118.72,118.81,0
2015-02-24,USDJPY,118.82,119.82,118.75,118.96,0
2015-02-25,USDJPY,118.96,119.05,118.61,118.81,0
2015-02-26,USDJPY,118.82,119.48,118.66,119.36,0
2015-02-27,USDJPY,119.35,119.78,119.1,119.59,0
2015-03-02,USDJPY,119.67,120.17,119.65,120.17,0
2015-03-03,USDJPY,120.17,120.24,119.36,119.65,0
2015-03-04,USDJPY,119.66,119.8,119.46,119.69,0
2015-03-05,USDJPY,119.69,120.37,119.61,120.08,0
2015-03-06,USDJPY,120.07,121.26,119.89,120.69,0
2015-03-09,USDJPY,120.68,121.39,120.6,121.24,0
2015-03-10,USDJPY,121.24,122.0,120.91,121.1,0
2015-03-11,USDJPY,121.1,121.6,120.86,121.4,0
2015-03-12,USDJPY,121.4,121.65,120.66,121.32,0
2015-03-13,USDJPY,121.32,121.55,121.12,121.42,0
2015-03-16,USDJPY,121.35,121.44,121.08,121.34,0
2015-03-17,USDJPY,121.34,121.49,121.1,121.33,0
2015-03-18,USDJPY,121.33,121.38,119.31,120.28,0
2015-03-19,USDJPY,120.28,121.03,119.67,120.83,0
